Pais,Felicidad,GDP,Population_2020,LifeExpectancy_2020,ControlCorruption_2020
Finland,7.821000099,271837000000.0,5529543.0,81.9317073170732,93.1034035
Denmark,7.636199951,356085000000.0,5831404.0,81.6024390243903,93.693418
Iceland,7.557499886,21718075725.0,366463.0,83.0634146341463,85.1457924
Switzerland,7.511600018,752248000000.0,8638167.0,83,94.1447698
Netherlands,7.414899826,913865000000.0,17441500.0,81.3585365853659,89.6456515
Luxembourg,7.403999805,73353132794.0,630419.0,82.1439024390244,92.5232852
Sweden,7.384300232,541487000000.0,10353442.0,82.3560975609756,91.0446593
Norway,7.365099907,362198000000.0,5379475.0,83.209756097561,90.0308479
Israel,7.363800049,407101000000.0,9215100.0,82.6487804878049,61.887832
New Zealand,7.199800014,211735000000.0,5072400.0,82.2560975609756,91.4612665
Austria,7.163000107,433258000000.0,8916864.0,81.1926829268293,80.3611551
Australia,7.162099838,1327840000000.0,25649248.0,83.2,80.3186803
Ireland,7.040800095,425889000000.0,5039747.0,82.4560975609756,80.1580961
Germany,7.034100056,3846410000000.0,83160871.0,81.0414634146342,85.7329669
Canada,7.025100231,1645420000000.0,38028638.0,81.53,81.0957447
United States,6.976799965,20893700000000.0,331578104.0,76.9804878048781,70.612324
United Kingdom,6.942500114,2756900000000.0,66740000.0,80.331756097561,82.6910306
Czechia,6.919799805,245339000000.0,10697858.0,78.2268292682927,60.6913367
Belgium,6.804999828,521677000000.0,11538604.0,80.6951219512195,79.5583496
France,6.686699867,2630320000000.0,67601110.0,82.1756097560976,74.0468813
Bahrain,6.646900177,34723357447.0,1472204.0,78.683,45.9821495
Slovenia,6.630099773,53589609581.0,2102419.0,80.5317073170732,63.5626752
Costa Rica,6.581999779,62158002233.0,5034320.0,79.725,63.1650182
United Arab Emirates,6.576000214,358869000000.0,9401038.0,81.936,69.3398258
Saudi Arabia,6.522799969,703368000000.0,31552510.0,77.596,54.3630881
Singapore,6.480199814,345296000000.0,5685807.0,83.5439024390244,90.9144779
Romania,6.477000237,249511000000.0,19265250.0,74.2536585365854,46.8483759
Spain,6.476299763,1281480000000.0,47359424.0,82.2317073170732,64.673557
Uruguay,6.473599911,53560755047.0,3398968.0,78.381,78.5101133
Italy,6.466700077,1892570000000.0,59438851.0,82.1951219512195,58.5820595
Kosovo,6.45510006,7716925356.0,1790151.0,74.212,39.2807159
Malta,6.446899891,14917038504.0,515490.0,82.0975609756098,60.2290038
Lithuania,6.445600033,56546957475.0,2810369.0,75.0292682926829,65.6953679
Slovakia,6.390699863,105173000000.0,5458827.0,76.8658536585366,56.3508392
Estonia,6.340799809,30650285472.0,1329522.0,78.5951219512195,80.0377096
Panama,6.309100151,53977037000.0,4293261.0,76.33,37.3493253
Brazil,6.29279995,1448570000000.0,208660842.0,74.506,41.0287424
Guatemala,6.262199879,77604632621.0,17357325.0,69.971,25.5915523
Kazakhstan,6.234099865,171082000000.0,19482117.0,71.195,42.0228467
Cyprus,6.220900059,24692095945.0,1302247.0,81.23,57.2945096
Latvia,6.180399895,33645460617.0,1900449.0,75.1853658536585,63.2486116
Serbia,6.177999973,53335016425.0,6899126.0,74.4780487804878,40.4013317
Chile,6.171800137,252727000000.0,19370624.0,79.349,72.4609793
Nicaragua,6.164599895,12586941393.0,6565267.0,70.766,24.8323227
Mexico,6.127600193,1087120000000.0,126799054.0,70.449,30.5727672
Croatia,6.125199795,57203783203.0,3914206.0,77.5243902439024,50.6014519
Poland,6.122799873,596624000000.0,37515748.0,76.4,62.9185856
El Salvador,6.119999886,24638720000.0,6234673.0,70.244,37.5165892
Kuwait,6.106100082,105960000000.0,4400267.0,78.7609756097561,44.714908
Hungary,6.08589983,156743000000.0,9670419.0,75.419512195122,50.7258726
Mauritius,6.071100235,10926820603.0,1266014.0,74.1770731707317,54.7909314
Uzbekistan,6.062699795,59894305353.0,33586372.0,71.461,30.9390945
Japan,6.038899899,5040110000000.0,126261000.0,84.56,76.8027176
Honduras,6.022099972,23827840810.0,10119640.0,70.864,28.1678381
Portugal,6.016300201,228539000000.0,10297081.0,81.3292682926829,63.9652875
Argentina,5.967000008,389591000000.0,45191965.0,75.878,45.1329544
Greece,5.948200226,188835000000.0,10698599.0,81.2878048780488,53.5422898
South Korea,5.935100079,1637900000000.0,51836239.0,83.4268292682927,63.154697
Philippines,5.903600216,361751000000.0,112081264.0,70.097,36.9393411
Thailand,5.891200066,499682000000.0,71641484.0,77.331,40.1221848
Moldova,5.856800079,11859730544.0,2635130.0,69.914,33.0615489
Jamaica,5.849599838,13812425037.0,2830739.0,71.452,46.233857
Kyrgyzstan,5.828499794,7780874537.0,6726596.0,71.8,26.6328335
Belarus,5.821499825,61489588895.0,9379952.0,72.1385609756098,45.8019695
Colombia,5.780600071,270300000000.0,50629997.0,74.757,42.6636046
Bosnia and Herzegovina,5.768000126,19955120005.0,3299349.0,76.04,35.2107606
Mongolia,5.760700226,13312981595.0,3327204.0,71.3490243902439,35.2905366
Dominican Republic,5.737199783,78844702329.0,11008300.0,72.636,33.553066
Malaysia,5.711299896,337006000000.0,33889558.0,76.057,56.3668583
Bolivia,5.600299835,36629843806.0,11816299.0,62.906,31.5692114
China,5.585299969,14687700000000.0,1411100000.0,78.019,48.929991
Paraguay,5.578299999,35432178068.0,6603739.0,72.72,31.4563082
Peru,5.559100151,201705000000.0,32838579.0,73.832,37.7727478
Montenegro,5.546800137,4780722122.0,626590.0,75.9317073170732,47.1263711
Ecuador,5.533299923,99291124000.0,17546065.0,72.004,37.3619014
Vietnam,5.485000134,343243000000.0,98079191.0,75.383,41.5155594
Russia,5.458600044,1488320000000.0,145245148.0,71.3387804878049,32.1746559
Hong Kong,5.424799919,344881000000.0,7481000.0,85.4963414634146,82.0397896
Armenia,5.398600101,12641209802.0,2961500.0,73.3756097560976,49.9924934
Tajikistan,5.377099991,8133996648.0,9749310.0,68.605,25.916101
Nepal,5.37650013,33433670512.0,28966574.0,69.106,33.6623338
Bulgaria,5.370900154,69889347433.0,6550696.0,73.3560975609756,42.6240972
Libya,5.330200195,52320215472.0,7045399.0,72.388,17.0589216
Indonesia,5.239600182,1058690000000.0,274814866.0,68.817,40.8581326
Ivory Coast,5.234600067,61348579465.0,28915449.0,60.14,38.0109482
North Macedonia,5.198999882,12116981815.0,1856124.0,74.3951219512195,38.6049117
Albania,5.198800087,15131866271.0,2528480.0,77.824,34.5069402
South Africa,5.193900108,335442000000.0,60562381.0,65.15,48.3743811
Azerbaijan,5.173399925,42693000000.0,10093121.0,70.312,32.4751638
Gambia,5.163599968,1830413000.0,2515733.0,64.418,43.3446735
Bangladesh,5.155499935,373902000000.0,166298024.0,71.421,26.0737663
Laos,5.140299797,18981800705.0,7346533.0,68.339,26.3811847
Algeria,5.122300148,145009000000.0,44042091.0,73.257,34.9886078
Liberia,5.121500015,3039982540.0,5149463.0,61.267,29.2985565
Ukraine,5.08409977,156618000000.0,44680014.0,73.283,31.0350717
Congo,5.075200081,48716960860.0,5752791.0,64.391,20.1187109
Morocco,5.059899807,114725000000.0,36584208.0,73.133,39.5851081
Mozambique,5.048299789,14028811072.0,30783688.0,61.39,32.4162528
Cameroon,5.047599792,40804449726.0,26210558.0,61.674,26.4452349
Senegal,5.04610014,24493157583.0,16789219.0,67.496,47.5398955
Niger,5.003499985,13741378450.0,23717613.0,59.89,37.1269984
Georgia,4.973199844,15842922533.0,3722716.0,73.509,64.459438
Gabon,4.958300114,15316824039.0,2322539.0,67.073,31.5726423
Iraq,4.940899849,184370000000.0,42116605.0,69.651,20.1393472
Guinea,4.890500069,14169626010.0,13371183.0,59.35,30.3177684
Iran,4.887899876,231548000000.0,87723443.0,74.141,25.4997346
Ghana,4.872000217,70043199814.0,31887809.0,64.309,45.9874811
Turkey,4.74420023,719955000000.0,83384680.0,76.525,41.2919795
Burkina Faso,4.670499802,17933606353.0,21478690.0,60.454,43.7695312
Cambodia,4.640299797,25872798012.0,16725474.0,70.059,25.2346981
Benin,4.62319994,15651545332.0,13070169.0,60.154,47.1409996
Comoros,4.60860014,1223876065.0,802163.0,65.756,21.0871975
Uganda,4.602600098,37600368181.0,44457152.0,66.41,28.9058728
Nigeria,4.552000046,432294000000.0,213996181.0,53.072,25.2281358
Kenya,4.543000221,100667000000.0,52217334.0,61.596,32.6627583
Tunisia,4.515999794,42514151614.0,11974057.0,75.004,47.4649148
Pakistan,4.515799999,300306000000.0,235001746.0,65.701,28.8885035
Mali,4.479000092,17465392779.0,21713836.0,58.858,32.1596448
